Institute,Program,Category,Gender,ClosingRank
Indian Institute of Technology Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),SC (PwD),Gender-Neutral,1
Indian Institute of Technology Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),ST (PwD),Gender-Neutral,1
Indian Institute of Technology Delhi,Computer Science and Engineering (4 Years Bachelor of Technology),ST (PwD),Gender-Neutral,2
Indian Institute of Technology Madras,Computer Science and Engineering (4 Years Bachelor of Technology),SC (PwD),Gender-Neutral,2
Indian Institute of Technology Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),EWS (PwD),Gender-Neutral,3
Indian Institute of Technology Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,3
Indian Institute of Technology Delhi,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,3
Indian Institute of Technology Delhi,Computer Science and Engineering (4 Years Bachelor of Technology),SC (PwD),Gender-Neutral,3
Indian Institute of Technology Kanpur,Computer Science and Engineering (4 Years Bachelor of Technology),ST (PwD),Gender-Neutral,3
Indian Institute of Technology Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN (PwD),Gender-Neutral,4
Indian Institute of Technology Delhi,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,4
Indian Institute of Technology Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),ST (PwD),Gender-Neutral,4
Indian Institute of Technology Kanpur,Computer Science and Engineering (4 Years Bachelor of Technology),SC (PwD),Gender-Neutral,4
Indian Institute of Technology Madras,Computer Science and Engineering (4 Years Bachelor of Technology),EWS (PwD),Gender-Neutral,4
Indian Institute of Technology Hyderabad,Computer Science and Engineering (4 Years Bachelor of Technology),ST (PwD),Gender-Neutral,5
Indian Institute of Technology Hyderabad,Electrical Engineering (4 Years Bachelor of Technology),SC (PwD),Gender-Neutral,5
Indian Institute of Technology Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),SC (PwD),Gender-Neutral,6
Indian Institute of Technology Kanpur,Computer Science and Engineering (4 Years Bachelor of Technology),EWS (PwD),Gender-Neutral,6
Indian Institute of Technology Madras,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,6
Indian Institute of Technology Bombay,Electrical Engineering (4 Years Bachelor of Technology),SC (PwD),Gender-Neutral,7
Indian Institute of Technology Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),EWS (PwD),Gender-Neutral,7
Indian Institute of Technology Roorkee,Computer Science and Engineering (4 Years Bachelor of Technology),EWS (PwD),Gender-Neutral,8
Indian Institute of Technology Guwahati,Computer Science and Engineering (4 Years Bachelor of Technology),SC (PwD),Gender-Neutral,8
Indian Institute of Technology Bombay,Chemical Engineering (4 Years Bachelor of Technology),SC (PwD),Gender-Neutral,9
Indian Institute of Technology Delhi,Mathematics and Computing (4 Years Bachelor of Technology),EWS (PwD),Gender-Neutral,9
Indian Institute of Technology Kanpur,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL (PwD),Gender-Neutral,9
